project_title,project_norm,status,snap_idx,data_timestamp,dev_count,repo_count,edges,nodes,components,giant_ratio,density,bipartite_density,avg_degree,knowledge_redundancy,bus_factor_norm,mean_repo_load,gini_repo_load,fc_attack_adaptive,dev_count_pct,repo_count_pct,edges_pct,nodes_pct,mean_repo_load_pct,knowledge_redundancy_pct,avg_degree_pct
Crema Finance,crema finance,Failures,5,2025-07-23 17:38:13.011985+00:00,4,3,7,7,1,1.0,0.3333333333333333,0.5833333333333334,2.0,0.4166666666666667,0.3333333333333333,2.0,0.2222222222222222,0.2857142857142857,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Crema Finance,crema finance,Failures,6,2025-08-20 04:12:03.435866+00:00,4,3,7,7,1,1.0,0.3333333333333333,0.5833333333333334,2.0,0.4166666666666667,0.3333333333333333,2.0,0.2222222222222222,0.2857142857142857,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Crema Finance,crema finance,Failures,7,2025-09-20 04:03:23.657570+00:00,4,3,7,7,1,1.0,0.3333333333333333,0.5833333333333334,2.0,0.4166666666666667,0.3333333333333333,2.0,0.2222222222222222,0.2857142857142857,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Crema Finance,crema finance,Failures,8,2025-10-20 05:48:43.351519+00:00,4,3,7,7,1,1.0,0.3333333333333333,0.5833333333333334,2.0,0.4166666666666667,0.3333333333333333,2.0,0.2222222222222222,0.2857142857142857,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Panoptic,panoptic,Failures,0,2025-01-13 00:06:13.501155+00:00,41,8,58,49,1,1.0,0.04931972789115646,0.17682926829268292,2.36734693877551,0.1992579186347823,0.1,1.35,0.22777777777777777,0.061224489795918366,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Panoptic,panoptic,Failures,1,2025-04-07 04:18:36.823830+00:00,37,8,47,45,1,1.0,0.047474747474747475,0.15878378378378377,2.088888888888889,0.15405906986450493,0.1111111111111111,1.2222222222222223,0.16414141414141414,0.06666666666666667,90.2439024390244,100.0,81.03448275862068,91.83673469387756,90.53497942386831,77.31641026868205,88.23754789272031
Panoptic,panoptic,Failures,2,2025-04-30 19:56:01.133459+00:00,37,8,47,45,1,1.0,0.047474747474747475,0.15878378378378377,2.088888888888889,0.15405906986450493,0.1111111111111111,1.2222222222222223,0.16414141414141414,0.06666666666666667,90.2439024390244,100.0,81.03448275862068,91.83673469387756,90.53497942386831,77.31641026868205,88.23754789272031
Panoptic,panoptic,Failures,3,2025-05-20 04:00:19.776788+00:00,41,9,61,50,1,1.0,0.04979591836734694,0.16531165311653118,2.44,0.15653007021207527,0.1,1.425,0.25043859649122807,0.06,100.0,112.5,105.17241379310344,102.04081632653062,105.55555555555556,78.55651172336972,103.06896551724138
Panoptic,panoptic,Failures,4,2025-06-20 04:00:14.727978+00:00,41,10,62,51,1,1.0,0.04862745098039216,0.15121951219512195,2.4313725490196076,0.13236691331251735,0.1,1.45,0.25862068965517243,0.058823529411764705,100.0,125.0,106.89655172413792,104.08163265306123,107.40740740740739,66.4299387544699,102.70453008789721
Panoptic,panoptic,Failures,5,2025-07-23 17:38:13.011985+00:00,41,10,62,51,1,1.0,0.04862745098039216,0.15121951219512195,2.4313725490196076,0.13236691331251735,0.1,1.45,0.25862068965517243,0.058823529411764705,100.0,125.0,106.89655172413792,104.08163265306123,107.40740740740739,66.4299387544699,102.70453008789721
